time (s),v("/A0" ?result "tran") (V)
0.000,1.000
48.83E-15,999.5E-3
146.5E-15,998.5E-3
341.8E-15,996.6E-3
609.9E-15,993.9E-3
1.146E-12,988.5E-3
1.969E-12,980.3E-3
3.615E-12,963.8E-3
6.132E-12,938.7E-3
9.591E-12,904.1E-3
14.18E-12,858.2E-3
20.31E-12,796.9E-3
28.02E-12,719.8E-3
32.60E-12,674.0E-3
38.89E-12,611.1E-3
43.43E-12,565.7E-3
46.72E-12,532.8E-3
50.00E-12,500.0E-3
50.05E-12,499.5E-3
50.16E-12,498.4E-3
50.21E-12,497.9E-3
50.31E-12,496.9E-3
50.52E-12,494.8E-3
50.93E-12,490.7E-3
51.76E-12,482.4E-3
53.42E-12,465.8E-3
56.01E-12,439.9E-3
58.82E-12,411.8E-3
62.21E-12,377.9E-3
65.10E-12,349.0E-3
68.40E-12,316.0E-3
72.95E-12,270.5E-3
76.28E-12,237.2E-3
79.25E-12,207.5E-3
83.03E-12,169.7E-3
87.56E-12,124.4E-3
92.00E-12,79.95E-3
95.84E-12,41.60E-3
100.0E-12,0.000
100.1E-12,0.000
100.2E-12,0.000
100.3E-12,0.000
100.4E-12,0.000
100.7E-12,0.000
101.3E-12,0.000
102.4E-12,0.000
104.7E-12,0.000
109.3E-12,0.000
117.6E-12,0.000
127.7E-12,0.000
138.5E-12,0.000
150.5E-12,0.000
159.7E-12,0.000
169.2E-12,0.000
178.4E-12,0.000
190.4E-12,0.000
200.0E-12,0.000
200.2E-12,0.000
200.6E-12,0.000
201.5E-12,0.000
201.9E-12,0.000
202.8E-12,0.000
204.5E-12,0.000
207.9E-12,0.000
214.7E-12,0.000
221.7E-12,0.000
229.0E-12,0.000
238.0E-12,0.000
246.8E-12,0.000
258.7E-12,0.000
271.3E-12,0.000
285.7E-12,0.000
302.1E-12,0.000
322.4E-12,0.000
338.3E-12,0.000
355.3E-12,0.000
373.4E-12,0.000
386.7E-12,0.000
400.0E-12,0.000
400.3E-12,0.000
400.9E-12,0.000
401.2E-12,0.000
401.8E-12,0.000
403.0E-12,0.000
405.5E-12,0.000
410.3E-12,0.000
420.1E-12,0.000
435.9E-12,0.000
454.5E-12,0.000
477.4E-12,0.000
507.1E-12,0.000
553.4E-12,0.000
618.8E-12,0.000
706.8E-12,0.000
820.7E-12,0.000
976.1E-12,0.000
1.182E-9,0.000
1.458E-9,0.000
1.842E-9,0.000
2.171E-9,0.000
2.500E-9,0.000
2.500E-9,0.000
2.501E-9,0.000
2.501E-9,0.000
2.502E-9,0.000
2.504E-9,0.000
2.509E-9,0.000
2.515E-9,0.000
2.524E-9,0.000
2.527E-9,0.000
2.530E-9,0.000
2.534E-9,0.000
2.536E-9,0.000
2.539E-9,0.000
2.540E-9,0.000
2.542E-9,0.000
2.544E-9,0.000
2.546E-9,0.000
2.547E-9,0.000
2.549E-9,0.000
2.550E-9,0.000
2.550E-9,0.000
2.550E-9,0.000
2.550E-9,0.000
2.550E-9,0.000
2.550E-9,0.000
2.550E-9,0.000
2.551E-9,0.000
2.551E-9,0.000
2.551E-9,0.000
2.552E-9,0.000
2.555E-9,0.000
2.558E-9,0.000
2.561E-9,0.000
2.564E-9,0.000
2.568E-9,0.000
2.573E-9,0.000
2.578E-9,0.000
2.582E-9,0.000
2.587E-9,0.000
2.591E-9,0.000
2.597E-9,0.000
2.598E-9,0.000
2.601E-9,0.000
2.601E-9,0.000
2.602E-9,0.000
2.602E-9,0.000
2.603E-9,0.000
2.604E-9,0.000
2.607E-9,0.000
2.612E-9,0.000
2.616E-9,0.000
2.621E-9,0.000
2.627E-9,0.000
2.633E-9,0.000
2.640E-9,0.000
2.649E-9,0.000
2.660E-9,0.000
2.675E-9,0.000
2.695E-9,0.000
2.700E-9,0.000
2.710E-9,0.000
2.716E-9,0.000
2.721E-9,0.000
2.727E-9,0.000
2.730E-9,0.000
2.733E-9,0.000
2.736E-9,0.000
2.739E-9,0.000
2.742E-9,0.000
2.745E-9,0.000
2.748E-9,0.000
2.750E-9,0.000
2.753E-9,0.000
2.757E-9,0.000
2.759E-9,0.000
2.762E-9,0.000
2.765E-9,0.000
2.767E-9,0.000
2.770E-9,0.000
2.773E-9,0.000
2.776E-9,0.000
2.778E-9,0.000
2.781E-9,0.000
2.783E-9,0.000
2.786E-9,0.000
2.788E-9,0.000
2.791E-9,0.000
2.794E-9,0.000
2.798E-9,0.000
2.801E-9,0.000
2.803E-9,0.000
2.806E-9,0.000
2.810E-9,0.000
2.814E-9,0.000
2.818E-9,0.000
2.821E-9,0.000
2.824E-9,0.000
2.827E-9,0.000
2.829E-9,0.000
2.833E-9,0.000
2.836E-9,0.000
2.838E-9,0.000
2.841E-9,0.000
2.844E-9,0.000
2.848E-9,0.000
2.853E-9,0.000
2.854E-9,0.000
2.855E-9,0.000
2.858E-9,0.000
2.860E-9,0.000
2.863E-9,0.000
2.867E-9,0.000
2.870E-9,0.000
2.875E-9,0.000
2.878E-9,0.000
2.881E-9,0.000
2.885E-9,0.000
2.888E-9,0.000
2.893E-9,0.000
2.898E-9,0.000
2.900E-9,0.000
2.903E-9,0.000
2.907E-9,0.000
2.910E-9,0.000
2.912E-9,0.000
2.915E-9,0.000
2.917E-9,0.000
2.920E-9,0.000
2.923E-9,0.000
2.926E-9,0.000
2.928E-9,0.000
2.931E-9,0.000
2.933E-9,0.000
2.936E-9,0.000
2.938E-9,0.000
2.941E-9,0.000
2.943E-9,0.000
2.946E-9,0.000
2.949E-9,0.000
2.951E-9,0.000
2.954E-9,0.000
2.957E-9,0.000
2.959E-9,0.000
2.962E-9,0.000
2.965E-9,0.000
2.969E-9,0.000
2.971E-9,0.000
2.974E-9,0.000
2.977E-9,0.000
2.980E-9,0.000
2.983E-9,0.000
2.986E-9,0.000
2.989E-9,0.000
2.992E-9,0.000
2.995E-9,0.000
2.998E-9,0.000
3.000E-9,0.000
3.003E-9,0.000
3.007E-9,0.000
3.009E-9,0.000
3.012E-9,0.000
3.016E-9,0.000
3.020E-9,0.000
3.022E-9,0.000
3.025E-9,0.000
3.028E-9,0.000
3.031E-9,0.000
3.035E-9,0.000
3.039E-9,0.000
3.045E-9,0.000
3.051E-9,0.000
3.059E-9,0.000
3.066E-9,0.000
3.072E-9,0.000
3.076E-9,0.000
3.080E-9,0.000
3.084E-9,0.000
3.088E-9,0.000
3.090E-9,0.000
3.093E-9,0.000
3.096E-9,0.000
3.098E-9,0.000
3.101E-9,0.000
3.103E-9,0.000
3.106E-9,0.000
3.109E-9,0.000
3.112E-9,0.000
3.116E-9,0.000
3.121E-9,0.000
3.127E-9,0.000
3.134E-9,0.000
3.142E-9,0.000
