time (s),v("/D1" ?result "tran") (V)
0.000,41.07E-9
48.83E-15,-10.44E-6
146.5E-15,-33.46E-6
341.8E-15,-79.61E-6
609.9E-15,-137.6E-6
1.146E-12,-248.7E-6
1.969E-12,-375.5E-6
3.615E-12,-541.6E-6
6.132E-12,-657.6E-6
9.591E-12,-692.1E-6
14.18E-12,-665.3E-6
20.31E-12,-619.4E-6
28.02E-12,-580.8E-6
32.60E-12,-544.3E-6
38.89E-12,-423.8E-6
43.43E-12,-310.4E-6
46.72E-12,-218.7E-6
50.00E-12,-73.02E-6
50.05E-12,-54.67E-6
50.16E-12,-22.56E-6
50.21E-12,-6.189E-6
50.31E-12,24.74E-6
50.52E-12,83.87E-6
50.93E-12,190.0E-6
51.76E-12,362.4E-6
53.42E-12,586.5E-6
56.01E-12,715.8E-6
58.82E-12,622.1E-6
62.21E-12,226.5E-6
65.10E-12,-250.3E-6
68.40E-12,-726.6E-6
72.95E-12,-969.7E-6
76.28E-12,-962.6E-6
79.25E-12,-883.7E-6
83.03E-12,-710.1E-6
87.56E-12,-406.3E-6
92.00E-12,-83.07E-6
95.84E-12,127.7E-6
100.0E-12,274.2E-6
100.1E-12,278.8E-6
100.2E-12,288.8E-6
100.3E-12,293.9E-6
100.4E-12,303.2E-6
100.7E-12,320.3E-6
101.3E-12,348.7E-6
102.4E-12,387.9E-6
104.7E-12,424.3E-6
109.3E-12,432.0E-6
117.6E-12,406.3E-6
127.7E-12,378.1E-6
138.5E-12,356.2E-6
150.5E-12,339.7E-6
159.7E-12,329.5E-6
169.2E-12,314.4E-6
178.4E-12,301.1E-6
190.4E-12,283.4E-6
200.0E-12,262.5E-6
200.2E-12,262.5E-6
200.6E-12,262.5E-6
201.5E-12,261.2E-6
201.9E-12,260.0E-6
202.8E-12,257.1E-6
204.5E-12,250.3E-6
207.9E-12,238.1E-6
214.7E-12,226.1E-6
221.7E-12,223.8E-6
229.0E-12,221.7E-6
238.0E-12,217.2E-6
246.8E-12,210.3E-6
258.7E-12,198.6E-6
271.3E-12,184.6E-6
285.7E-12,168.8E-6
302.1E-12,153.3E-6
322.4E-12,137.1E-6
338.3E-12,124.5E-6
355.3E-12,118.8E-6
373.4E-12,112.9E-6
386.7E-12,111.0E-6
400.0E-12,99.78E-6
400.3E-12,98.97E-6
400.9E-12,97.43E-6
401.2E-12,96.78E-6
401.8E-12,95.71E-6
403.0E-12,94.07E-6
405.5E-12,91.78E-6
410.3E-12,87.74E-6
420.1E-12,78.65E-6
435.9E-12,65.82E-6
454.5E-12,55.60E-6
477.4E-12,46.04E-6
507.1E-12,36.47E-6
553.4E-12,25.11E-6
618.8E-12,14.71E-6
706.8E-12,6.891E-6
820.7E-12,2.536E-6
976.1E-12,449.3E-9
1.182E-9,34.95E-9
1.458E-9,-110.2E-9
1.842E-9,-15.74E-9
2.171E-9,-104.1E-9
2.500E-9,-20.48E-9
2.500E-9,59.43E-6
2.501E-9,179.7E-6
2.501E-9,351.3E-6
2.502E-9,519.3E-6
