time (s),/D5 (V)
0.000,41.07E-9
48.83E-15,-8.785E-6
146.5E-15,-27.15E-6
341.8E-15,-63.84E-6
609.9E-15,-109.6E-6
1.146E-12,-189.8E-6
1.969E-12,-300.1E-6
3.615E-12,-437.5E-6
6.132E-12,-545.2E-6
9.591E-12,-597.5E-6
14.18E-12,-602.5E-6
20.31E-12,-580.8E-6
28.02E-12,-558.7E-6
32.60E-12,-540.5E-6
38.89E-12,-466.2E-6
43.43E-12,-384.0E-6
46.72E-12,-304.7E-6
50.00E-12,-164.3E-6
50.05E-12,-149.1E-6
50.16E-12,-117.2E-6
50.21E-12,-101.2E-6
50.31E-12,-70.50E-6
50.52E-12,-11.96E-6
50.93E-12,90.27E-6
51.76E-12,259.2E-6
53.42E-12,492.7E-6
56.01E-12,661.7E-6
58.82E-12,615.7E-6
62.21E-12,258.6E-6
65.10E-12,-202.6E-6
68.40E-12,-675.1E-6
72.95E-12,-935.4E-6
76.28E-12,-945.3E-6
79.25E-12,-878.3E-6
83.03E-12,-714.5E-6
87.56E-12,-416.3E-6
92.00E-12,-95.01E-6
95.84E-12,116.4E-6
100.0E-12,263.9E-6
100.1E-12,268.1E-6
100.2E-12,277.2E-6
100.3E-12,281.8E-6
100.4E-12,290.3E-6
100.7E-12,306.0E-6
101.3E-12,332.1E-6
102.4E-12,370.5E-6
104.7E-12,409.1E-6
109.3E-12,418.9E-6
117.6E-12,400.2E-6
127.7E-12,376.9E-6
138.5E-12,354.9E-6
150.5E-12,339.7E-6
159.7E-12,330.1E-6
169.2E-12,318.0E-6
178.4E-12,306.9E-6
190.4E-12,290.7E-6
200.0E-12,268.9E-6
200.2E-12,268.5E-6
200.6E-12,267.5E-6
201.5E-12,264.9E-6
201.9E-12,263.4E-6
202.8E-12,260.1E-6
204.5E-12,253.1E-6
207.9E-12,241.4E-6
214.7E-12,236.2E-6
221.7E-12,255.7E-6
229.0E-12,243.8E-6
238.0E-12,215.0E-6
246.8E-12,200.3E-6
258.7E-12,189.7E-6
271.3E-12,179.8E-6
285.7E-12,166.2E-6
302.1E-12,150.5E-6
322.4E-12,131.6E-6
338.3E-12,121.2E-6
355.3E-12,110.2E-6
373.4E-12,99.89E-6
386.7E-12,93.19E-6
400.0E-12,85.89E-6
400.3E-12,81.50E-6
400.9E-12,73.46E-6
401.2E-12,70.35E-6
401.8E-12,65.76E-6
403.0E-12,61.04E-6
405.5E-12,61.63E-6
410.3E-12,72.69E-6
420.1E-12,82.06E-6
435.9E-12,71.25E-6
454.5E-12,58.75E-6
477.4E-12,48.53E-6
507.1E-12,37.71E-6
553.4E-12,25.80E-6
618.8E-12,14.87E-6
706.8E-12,7.355E-6
820.7E-12,2.598E-6
976.1E-12,687.1E-9
1.182E-9,91.21E-9
1.458E-9,53.33E-9
1.842E-9,47.73E-9
2.171E-9,28.98E-9
2.500E-9,60.73E-9
2.500E-9,59.00E-6
2.501E-9,176.3E-6
2.501E-9,364.7E-6
2.502E-9,546.0E-6
2.504E-9,754.0E-6
2.509E-9,878.3E-6
2.515E-9,866.2E-6
2.524E-9,803.0E-6
2.527E-9,748.8E-6
2.530E-9,703.0E-6
2.534E-9,657.6E-6
2.536E-9,633.4E-6
2.539E-9,619.8E-6
2.540E-9,613.2E-6
2.542E-9,615.3E-6
2.544E-9,625.9E-6
2.546E-9,647.3E-6
2.547E-9,666.6E-6
2.549E-9,682.6E-6
2.550E-9,695.4E-6
2.550E-9,689.3E-6
2.550E-9,676.0E-6
